id;nome;sobre;cnpj;razao_social;data_constituicao;logo_url;link_facebook;link_instagram;link_linkedin;link_twitter;site;ativo;criado
1;EXE index clicks-and-mortar;../fake-data/blob/hipster.txt;Alameda parse;circuit override;2021-10-25;zero;Genérico utilisation;Metrics back-end;bifurcated payment Borders;SSL multi-byte Gostoso;auxiliary Marginal Paraná;true;2021-10-24T22:13:58
2;JBOD Quality violeta;../fake-data/blob/hipster.txt;Borders digital Assistant;Peixe Metal Norte;2021-10-25;Madeira Branding;Account virtual;Cambridgeshire Ferramentas;Genérico Account;Loan;niches Specialist;true;2021-10-24T21:32:40
3;override;../fake-data/blob/hipster.txt;Future;Granito Persistent convergence;2021-10-25;Luvas Investor;e-tailers grow Avon;digital;Avon Luvas;TCP Moldávia;panel Estados;true;2021-10-25T09:55:57
4;Pizza withdrawal;../fake-data/blob/hipster.txt;Interactions harness;caramelo;2021-10-25;networks;JBOD withdrawal;Rondônia;hacking Brand Cambridgeshire;Cambridgeshire Canadian Federal;Livros withdrawal De-engineered;true;2021-10-24T21:51:55
5;synthesize Operations payment;../fake-data/blob/hipster.txt;Alagoas;Tocantins Borracha;2021-10-24;Borders invoice navigating;Extended alarm;Rodovia;asymmetric Luvas;website Salgadinhos cross-platform;Alameda framework Representative;true;2021-10-25T15:40:32
6;Rodovia AGP Account;../fake-data/blob/hipster.txt;Goiás multi-state Customer;Future SSL orchestrate;2021-10-25;quantifying Account Teclado;target Sul;Sem Queijo Officer;Berkshire;Marginal;payment navigate compress;true;2021-10-25T09:46:18
7;circuit Bedfordshire interfaces;../fake-data/blob/hipster.txt;Itália Algodão;grow;2021-10-24;Architect Bahia;withdrawal Borders end-to-end;Paraná Santa;ouro;Triple-buffered;Prático JBOD;false;2021-10-25T11:37:15
8;vortals generate;../fake-data/blob/hipster.txt;Dynamic;Lesoto;2021-10-25;Alameda Internal Metal;back-end synergistic Berkshire;PCI Bacon Card;architecture asymmetric;connect Configurable bandwidth;Granito;false;2021-10-25T14:55:10
9;rosa Plástico Investment;../fake-data/blob/hipster.txt;transmitting HDD moderator;França;2021-10-25;Pernambuco castanho;Stand-alone;harness invoice Pequeno;Account Genérico Metrics;Algodão;cross-platform ROI;false;2021-10-24T20:05:07
10;payment XML;../fake-data/blob/hipster.txt;Travessa;Public-key Sem synthesize;2021-10-24;Maiote 6th coral;Corporate;Account indexing;Genérico Madeira Bicicleta;Money;Account;true;2021-10-24T23:05:36
